GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.amadeus.digital.cli.business,GreetService,0,53,1,5,0,14,1,6,0,4
quarkus-application,com.amadeus.digital.cli.commands.gh,Branch,0,72,1,9,0,20,1,6,0,2
quarkus-application,com.amadeus.digital.cli.commands.gh,Commit,0,72,1,9,0,20,1,6,0,2
quarkus-application,com.amadeus.digital.cli,CommandWithHelp,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli,Configuration,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli,Main,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli.commands,Version,0,30,0,0,0,7,0,3,0,3
quarkus-application,com.amadeus.digital.cli.commands,GitHub,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli.commands,Say,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli.client,GitHubBranch,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli.client,GitHubCommit,0,3,0,0,0,1,0,1,0,1
quarkus-application,com.amadeus.digital.cli.commands.say,Hello,0,25,0,2,0,6,0,3,0,2
quarkus-application,com.amadeus.digital.cli.commands.say,Goodbye,0,25,0,2,0,6,0,3,0,2
